input,input_fr,input_wo,label
"I thought I lost my card but I found it today, so I would like to reactivate it.","Je pensais avoir perdu ma carte mais je l'ai retrouvée aujourd'hui, donc j'aimerais la réactiver.","Dama yaakaaroon ne sama kàrt dafa réer, waaye gisaat na ko tey te bëgg naa ko doxalaat.",card linking
Why is it I am charged an extra fee when I use the ATM?,Pourquoi dois-je payer des frais supplémentaires lorsque j'utilise le guichet automatique ?,Lu tax ma wara fay yeneen fere sumay jëfandikoo gab bi?,cash withdrawal charge
"While on vacation in Spain I think someone saw my PIN and I now need to change it, can I do this at an ATM in Spain?","Pendant mes vacances en Espagne, je pense que quelqu'un a vu mon code PIN et je dois maintenant le changer. Puis-je le faire à un guichet automatique en Espagne ?","Ci diir bi ma demee Espagne di dallu, yaakaar naa ne dafa am ku gis sama kod PIN, dama ko war a soppi. Ndax mën naa ko def ci benn GAB bu nekk ci Espagne.",change pin
How can I cancel my transfer?,Comment puis-je annuler mon transfert ?,Naka laa mëna fomme sama yónnee xaalis?,cancel transfer
I need to add money to my account. Can I do so via bank transfer?,J'ai besoin d'ajouter de l'argent sur mon compte. Puis-je le faire par virement bancaire ?,Dama soxla yokk xaalis ci sama kont. Ndax mën naa ko defe toxalu bànk?,transfer into account
How do I request the PIN?,Comment puis-je demander le code PIN ?,Naka laay laajee baatu ubbikaay bi ?,activate my card
Is a new debit card free?,Une nouvelle carte de débit est-elle gratuite ?,Ndax kàrt debi bu bees amul ay fere ?,getting spare card
Why are my purchases from this morning still pending?,Pourquoi mes achats de ce matin sont-ils toujours en attente ?,Lan moo tax samay jënd tay ci suba ba leegi mungi wéy di xaar?,pending card payment
I have double-checked all of my recipient details but for some reason all of my transfers keep getting declined. I have no clue as to why.,"J'ai vérifié tous les détails de mes destinataires, mais pour une raison quelconque, tous mes transferts continuent d'être refusés. Je n'ai aucune idée de la raison.","Saytu naa lépp lu jëm ci ñi may jox xaalis, waaye amna lutax, ba leegi ñu ngi bañ samay yónnee. Luma wara def leegi?",declined transfer
How do I know which countries you provide service in?,Comment puis-je savoir dans quels pays vous fournissez vos services ?,Naka laa mën a xamee réew yi seeni sarwiis am ?,country support
"I'm waiting for a money transfer to show, still.",J'attends toujours qu'un transfert d'argent se présente.,Maa ngi xaar xaalis bu ma yónnee boo xam ne jàllagul ba tay.,pending transfer
I tried to get gas but my money was gone!,J'ai essayé de faire le plein d'essence mais mon argent avait disparu !,jéem naa def esaas bu fees waaye xaalis bi réer na?,topping up by card
Can I trace where my funds came from?,Puis-je retracer la provenance de mes fonds ?,Ndax mën naa xam fu sama xaalis jóge ?,verify source of funds
Can I use your services without access to the app?,Puis-je utiliser vos services sans accès à l'application ?,Ndax mën naa joti ci seeni sarwiis te duma laal aplikaasiyoŋ bi ?,lost or stolen phone
Can you help me get a disposable virtual card?,Pouvez-vous m’aider à obtenir une carte virtuelle jetable ?,Ndax mën ngeen ma jàppale ma am kàrt wirtiyel buñu mëna jëfandikoo benn yoon kese?,get disposable virtual card
Will you tell me how to exchange USD for GBP in the app?,Pouvez-vous me dire comment échanger des USD contre des GBP dans l'application ?,Ndax mën ngeen ma wax naka laa mën a weccoo ay dolaar ak ay pound ci aplikaasiyoŋ bi ?,exchange via app
"what is going on, i have entered my passcode and its not working","que se passe-t-il, j'ai entré mon code d'accès et cela ne fonctionne pas", Lu xew? dugal naa sama kodu jàll te doxul.,unable to verify identity
Can you tell me whats going on with my card it seems to be not working?,"Pouvez-vous me dire ce qui se passe avec ma carte, elle ne semble pas fonctionner ?","Ndax mën nga ma wax lu xew ak sama kàrt, dafa mel ni  doxul?",card not working
How long does it actually take my card payment to make it to the account? I've made a payment a couple of days ago but it hasn't moved since.,"Combien de temps faut-il réellement pour que mon paiement par carte soit crédité sur mon compte ? J'ai effectué un paiement il y a quelques jours, mais il n'a pas bougé depuis.",ñaata waxtu lay def balaa sama fey ak kàrt di dugg ci sama kont. Fey naa bés yu néew ci ginnaaw waaye boobu ba leegi toxuwul.  ,declined card payment
my atm transaction was wrong,Ma transaction au guichet automatique était incorrecte,Xaalis bi ma  jël ci gab bi jaarul yoon,wrong amount of cash received
Physical cards are what I need more of,Les cartes physiques sont ce dont j'ai le plus besoin,Kàrti kartoŋ yi laa gën a soxla,getting spare card
Is it possible to use an ATM when I am not in the country and make a withdraw with out extra fees?,Est-il possible d'utiliser un guichet automatique lorsque je ne suis pas dans le pays et d'effectuer un retrait sans frais supplémentaires ?,"Ndax mën naa dem ci GAB, bu ma nekkul ci réew mi, jël fa xaalis te duma fey yeneeni fere ?",wrong exchange rate for cash withdrawal
Is there a way to set up an auto top-up?,Existe-t-il un moyen de configurer une recharge automatique ?,Ndax amna anam buñu mëna defaree sarse otomatik ? ,transaction charged twice
I want one of the virtual cards!,Je veux une des cartes virtuelles !,Dama  bëgg ay kàrt wirtuyel.,getting virtual card
Is there a limit on the number of times I can use a disposable card?,Y a-t-il une limite au nombre de fois que je peux utiliser une carte jetable ?,Ndax am na àpp ci lim yi ma mëna jëfandikoo kàrt yi ñuy jëfandikoo benn yoon kese?,change pin
I made a purchase but the exchange rate is wrong?,J'ai effectué un achat mais le taux de change est erroné ?,jënd naa waaye njëgu weccoo xaalis bi jaarul yoon?,terminate account
I have a new card and I need to activate it.,J’ai une nouvelle carte et je dois l’activer.,Amnaa kàrt bu bees te dama ko wara tàmbali.,activate my card
lost my card in atm,j'ai perdu ma carte au distributeur,Sama kàrt ca GAB ba laa ko ñàkkee ,card swallowed
"I would like to make a purchase, however my card has been declined. I would like to ask the reason for this. The past two weeks, the card has been working fine.","Je souhaite effectuer un achat, mais ma carte a été refusée. J'aimerais en connaître la raison. Depuis deux semaines, la carte fonctionne correctement.","damaa bëggoon a jënd , waaye nanguwu ñu sama kàrt. Ma bëggoon a xam lu ko waral. Ñaari ayu-bés kàrt baa ngi doon dox bu baax.",pending top up
What happened to my top-up? I think it was cancelled.,Qu'est-il arrivé à ma recharge ? Je pense qu'il a été annulé.,Lu xew ak sama sarse? Dama yaakaar ni dañu ko fomm.,top up reverted
I couldnt transfer money from my account.,Je n'ai pas pu transférer de l'argent depuis mon compte.,Mujjewuma yónnee sama xaalisu kont,failed transfer
I noticed that there is a withdrawal in the app that is not mine.,J'ai remarqué qu'il y a un retrait dans l'application qui n'est pas le mien.,Gis naa xaalis bu ñu jël ci aplikaasiyoŋ boo xam ne nekkul man maa ko jël.,cash withdrawal not recognised
How much do you charge for exchange rates?,Combien facturez-vous pour les taux de change ?,Ñaata ngeeni fayeeku ci njëgu weccoo xaalis yi?,exchange charge
can i add funds  with a card from the united states,Puis-je ajouter des fonds avec une carte des États-Unis ?,Ndax mën naa yokk xaalis ak kàrtu Etats Unis?,supported cards and currencies
What happened to the money that I deposited?,Qu'est-il arrivé à l'argent que j'ai déposé ?,Fan la xaalis bi ma dugal mujje ?,top up reverted
"I had everything lined up to make a transfer, and then it rejected it.","J'avais tout prévu pour effectuer un transfert, mais il a été refusé."," Waajaloon naa lépp ngir mëna toxal, waaye nanguwuñu ma.",wrong exchange rate for cash withdrawal
Can I open an account for my offspring?,Puis-je ouvrir un compte pour ma progéniture ?,Ndax mën naa fàggul kàrt sama njaboot ?,age limit
In the app I see a direct debit that I don't recognize.,"Dans l’application, je vois un prélèvement automatique que je ne reconnais pas.","Ci aplikaasioŋ bi, dama gis xaalis buñ ma tàgg te xamuma ko.",direct debit payment not recognised
How can I fix my bank transfer to show up on my bank account?,Comment puis-je faire en sorte que mon virement bancaire apparaisse sur mon compte bancaire ?,Naka laa mën a feeñalee xaalis bi ma yónnee bànk bi ci sama kont ?,balance not updated after bank transfer
My card has been stolen what do I do?,"Ma carte a été volée, que dois-je faire ?","Sama kart dañu ko sàcc, lan laa wara def?",lost or stolen card
Why was I unable to complete my transfer?,Pourquoi n’ai-je pas pu terminer mon transfert ?,Lu tax mënuma pare sama toxal ?,failed transfer
is there a way to see where funds come from,existe-t-il un moyen de voir d'où viennent les fonds,Ndax amna anam bu ñu mëna gise fu xaalis bi di joge?,wrong amount of cash received
"I don't think the transaction has gone through, so can I cancel a transfer?","Je ne pense pas que la transaction ait été effectuée, puis-je donc annuler un transfert ?","Yaakaaruma ni jëflante bi defnañu ko, ndax kon mën naa fomm jëflante bi?",cancel transfer
"Hi , I just came to know I made the wrong transaction  yesterday. Would  you please make it correct?I need it by tomorrow.","Bonjour, je viens de m'apercevoir que j'ai fait une mauvaise transaction hier. Pourriez-vous la corriger ? J'en ai besoin pour demain.","Nangeen def, gis naa leegi ni dama def ab  jëflante bu baaxul démb. Ndax mën ngeen ma  ko soppi? Dama ko soxla suba.",cancel transfer
I received duplicate charges.,J'ai reçu des frais en double.,jot naa ay njëg ñaari yoon.,transaction charged twice
"My card info was stolen, what do I do?","Les informations de ma carte ont été volées, que dois-je faire ?",Samay wayndarey kàrt dañu leen a sàcc. Naka laa war a def ?,compromised card
I don't recognize this payment,Je ne reconnais pas ce paiement,Xameewuma payoor bii.,card payment not recognised
How can I make my card show up in the app?,Comment puis-je faire apparaître ma carte dans l'application ?,Naka la mëna feeñalee sama kàrt ci aplikaasiyoŋ bi.,card linking
Why does it show that my transfer is still pending?,Pourquoi est-il indiqué que mon virement est toujours en attente ? , Lu tax sama toxal ba leegi mungiy xaar?,change pin
I noticed my transfer was declined.,J’ai remarqué que mon transfert avait été refusé.,Dama seetlu ni sama toxal xaalis nangu wuñu ko.,declined transfer
how to get new card after atm eats it,Comment obtenir une nouvelle carte après que l’ATM l’ait mangée,Naka  lañuy def ba am kàrt bu bees ginnaaw bi ko GAB bi lekkee.,card swallowed
How do I delete my account? I am dissatisfied with the service.,Comment supprimer mon compte ? Je ne suis pas satisfait du service.,Naka laa mën a faree sama kont ? Béguma ci seen liggéey,terminate account
My account is devoid of funds. Am I permitted to submit additional money via bank transfer?,Mon compte est vide de fonds. Puis-je envoyer de l’argent supplémentaire par virement bancaire ?,Sama kont amul xaalis. Ndax mën naa yokke yeneen xaalis ci bànk?,transfer into account
I'm trying to activate the auto-top up function. Where is it?,J’essaie d’activer la fonction de recharge automatique. C’est où?,Maa ngi jéema tàmbali doxalinu sarse otomatik bi. Fan la nekk?,automatic top up
I selected to withdrawal 30 pounds but only received 10. I'm still standing in front of the ATM. The app shows i took out 30 pounds also. How do i fix this?,"J'ai choisi de retirer 30 livres, mais je n'en ai reçu que 10. Je suis toujours devant le distributeur. L'application indique que j'ai également retiré 30 livres. Comment résoudre ce problème ?","Dama tànn jël 30 pound, waaye 10 rekk laa ci jot. Ba tay maa ngi ci GAB bi. Aplikaasiyoŋ bi dafa ma xamal ne 30 pound laa jël. Naka laa mën a saafaraa jafe-jafe bii ?",wrong amount of cash received
I need urgent help. I realize I sent my payment to the wrong account number. I made a typo. Please cancel the transfer now. There isn't an option from the app.,J’ai besoin d’une aide urgente. Je me rends compte que j’ai envoyé mon paiement au mauvais numéro de compte. J’ai fait une faute de frappe. Veuillez annuler le transfert maintenant. Il n’y a pas d’option dans l’application.,Dama soxla ndimbal ci lu gaaw. Dama gis ni yónnee naa sama xaalis ci nimero kontu bu baaxul. Dama juum ci lima bind. Baalñu ngeen fomm toxal bi leegi. Amul tànneef ci aplikaasioŋ bi.,cancel transfer
"I need a second card, can I have more than one?","J’ai besoin d’une deuxième carte, puis-je en avoir plus d’une ?","Dama soxla ñaareelu kàrt, ndax mën naa am lu ëpp benn?",getting spare card
I paid with card and I was charged a fee,J'ai payé avec une carte et des frais m'ont été facturés,Dama feyee ak kàrt ñu sàkkuma ay njëg. ,Refund not showing up
Looks like my top-up has been cancelled,Il semble que ma recharge a été annulée,Dafa mel ni dañoo fomm sama sarse.,compromised card
The machine only paid me a hundred when I wanted 20,La machine ne m'a payé que cent dollars alors que j'en voulais vingt.,Masin bi daf ma fay téemeeri dolaar te dama ci bëggoon ñaar fukki dolaar.,wrong amount of cash received
"My money is gone. I had topped up recently and saw it was there, but now it's disappeared, what's going on?","Mon argent a disparu. J'avais rechargé récemment et j'ai vu qu'il était là, mais maintenant il a disparu. Que se passe-t-il ?","sama xaalis dafa réer, sarse woon naa ko lu yàggul mu ngi fa woon, waaye léegi dafa réer. Lu xew?",activate my card
The transfer I made isn't reflected in my balance,Le transfert que j'ai effectué n'est pas reflété dans mon solde,Xaalis bi ma dugal feeñul ci sama kont,balance not updated after bank transfer
I couldn't get money from the ATM,Je n'ai pas pu retirer de l'argent au distributeur automatique,Mujjewuma jël xaalis ca GAB ba ,declined cash withdrawal
How long do I have to wait for Europe transfers?,Combien de temps dois-je attendre pour les transferts en Europe ?,Ban diir la wara xaar ngir toxal xaalis Orop,transfer timing
How will I know my pin number?,Comment puis-je connaître mon code PIN ?,naka la mëna xamee sama baatu ubbikaay?,get physical card
What currencies and cards do you support?,Quelles devises et quelles cartes prenez-vous en charge ?,Ban xaalis ak ban kàrt ngeen di toppatoo?,supported cards and currencies
The ATM machines keep declining my card and I don't know why. I thought I had money in my account. Why is this happening?,Les distributeurs automatiques de billets n’arrêtent pas de refuser ma carte et je ne sais pas pourquoi. Je pensais que j’avais de l’argent sur mon compte. Pourquoi cela se produit-il ?,GAB bi bàyyi wul baña nangu sama kàrt te xamuma luko waral. Jàppoon naa ni amnaa xaalis ci sama kontu. Lu tax loolu di am ?,declined cash withdrawal
How can I prove the source of my funds?,Comment puis-je prouver l’origine de mes fonds ?,Naka laa mëna firndeele fu sama xaalis tukkee?,verify source of funds
There is a Direct Debit that looks suspicious.,Il y a un prélèvement automatique qui semble suspect.,Amna génnee otomatik bu melni lu ñu am ñaaw njort.,passcode forgotten
When will I have access to my pin number?,Quand aurai-je accès à mon code PIN ? , Kañ laa mëna gis sama PIN? ,verify source of funds
How do I add the card I just received to show up in the app?,Comment ajouter la carte que je viens de recevoir pour qu'elle apparaisse dans l'application ?,Naka laa mën a jokkee kàrt bi may doog a jot ngir mu nekk ci aplikaasiyoŋ bi ?,card linking
How many disposable cards can I make in a day?,Combien de cartes jetables puis-je fabriquer en une journée ?,ñaata kàrt  yuñuy jëfandikoo benn yoon kese laa mëna defar ci benn bis?,disposable card limits
"The transfer keeps failing , I tried to transfer some money to friends this morning but it keeps getting rejected for some reason, Would you please check the issue?","Le transfert continue d'échouer, j'ai essayé de transférer de l'argent à des amis ce matin mais il continue d'être rejeté pour une raison quelconque, pourriez-vous s'il vous plaît vérifier le problème ?","Ci suba ba léegi, maa ngi jéem a yónnee xaalis samay xarit waaye jàllul ba tay ndax sabab lu kenn xamul",failed transfer
"Hello, I wanted to get some more information about ATM Withdraw Fee. I have been withdrawing money for years and notice this charge on my account. I always thought it was no fee since its you guys ATM company that I am withdrawing. Can you please explain?","Bonjour, je souhaite obtenir plus d'informations sur les frais de retrait aux distributeurs automatiques. Je retire de l'argent depuis des années et j'ai remarqué ces frais sur mon compte. J'ai toujours pensé qu'il n'y avait pas de frais puisque c'est à votre société de retrait que je retire de l'argent. Pouvez-vous m'expliquer ?",Salaam dama bëgga am leeral yu bari ci fere dindi xaalis ci gab yi. Damay dindi xaalis at yu  bari te seetlu naa ay fere ci sama kontu. Dama doon xaalat ba leegi ni amoon na ay fere ndax ci sa sosiyete bi ngay jëlee xaalis laa génnee xaalis. ndax mën ngama ko leeral? ,cash withdrawal charge
why couldn't I use my card at a store?,pourquoi je n'ai pas pu utiliser ma carte dans un magasin,Lu tax mënumaa jëfandikoo sama kàrt ci bitik bi?,wrong exchange rate for cash withdrawal
Do you also have this extra fee on your statement?,Avez-vous également ces frais supplémentaires sur votre relevé ?,Ndax am ngeen yeneen fere yii ci seen rëlëwe?,extra charge on statement
I'm having trouble with proving my identity.,J'ai du mal à prouver mon identité.,Dafa jafe lool ci man ma firndeel ki ma doon.,unable to verify identity
There is a top up that has been pending for an hour and I don't know why.  I was expecting it immediately and need it now!,Il y a une recharge qui est en attente depuis une heure et je ne sais pas pourquoi. Je l'attendais immédiatement et j'en ai besoin maintenant !,"Amna sarse buñu xaarandi defna benn waxtu te xawma luko waral. Dama ko doon xaar ci saasi, te  dama ko soxla leegi!",pending top up
Is there a fee when I add money to my international card?,Y a-t-il des frais lorsque j'ajoute de l'argent sur ma carte internationale ?,Ndax am na ay fere sumay yokk xaalis ci sama kàrt diggante réew ak réew?,top up by card charge
Instruct me how to reset the passcode.,Expliquez-moi comment réinitialiser le mot de passe.,Leeralal ma naka nañuy yeesalee baatu jàll.,passcode forgotten
Can I cancel a transaction?,Puis-je annuler une transaction ?,Ndax mën naa fomm jëflante bi?,card not working
Where can I check out the source of available funds in my account?,Où puis-je vérifier la source des fonds disponibles sur mon compte ?,Fan laa mëna xamee xaalis bi des sama ci sama kont?,verify source of funds
"I lost my card, what do I do now?","J'ai perdu ma carte, que dois-je faire maintenant ?","Dama réeral sama kart, naka laa wara def leegi ?",lost or stolen card
my google pay seems to be acting up.,Mon Google Pay semble faire des siennes.,Sama Google Pay dafa melni luy doxal boppam.,apple pay or google pay
"I really wanted to buy something online but seems the card is not working as the payment suddenly came back! What's going on here, I've been trying for a good week or two.","Je voulais vraiment acheter quelque chose en ligne, mais il semble que la carte ne fonctionne plus, car le paiement est soudainement revenu ! Que se passe-t-il ? J'essaie depuis une bonne semaine ou deux.",Dama bëggoon a jënd ab afeer jaare ko ci mbaalu jokkoo yi  waaye dafa mel ne kàrt bi doxul ndax peyoor bi dafa jekki rekk feeñaat ! Lan moo xew fii ndax ñaari ayu-bés a ngi may jéem,reverted card payment?
Can you please check the exchange rate when I was getting cash?,Pouvez-vous s'il vous plaît vérifier le taux de change lorsque je recevais de l'argent liquide ?,Ndax mën nga ma xoolal dayo weccoo xaalis bi waxtu wi may jël ay koppar ?,wrong exchange rate for cash withdrawal
Why do i have an extra fee on my statement?,Pourquoi ai-je des frais supplémentaires sur mon relevé ?,Lu tax sama karne kont am ay fere yi ci dolliku ?,extra charge on statement
I made a transfer and was charged an extra fee!,J’ai fait un transfert et on m’a facturé des frais supplémentaires !,"Dama yónnee xaalis, ñu feyeeku ma yeneen fere.",transfer fee charged
Why does my statement show a $1 charge on my account?,Pourquoi mon relevé indique-t-il un débit de 1 $ sur mon compte ?,Lu tax sama rëlëwe di wone ni dagg nañu 1F ci sama kont?,extra charge on statement
Where did my deposit for my source of funds come from?,D’où provient mon dépôt pour ma source de fonds ?,Fan la xaalis bi ma dugal ci sama am-am joge?,verify source of funds
How do I start auto top up?,Comment démarrer la recharge automatique ?,Naka lañuy tàmbalee sarse si saa si ?,transfer not received by recipient
What if I type in the wrong PIN too many times?,Que se passe-t-il si je tape le mauvais code PIN trop de fois ?,Lan mooy xew sudee maa bind kodu PIN bu baaxul bi yoon yu bari?,pin blocked
Can I use American express with apple pay? Why does it make my top up not work?,Puis-je utiliser American Express avec Apple Pay ? Pourquoi ma recharge ne fonctionne-t-elle pas ?,Ndax mën naa jëfandikoo Express bu Amerique ak Apple Pay? Lu tax sama sarse doxul?,apple pay or google pay
I paid with my card and ended up being charged a fee.,J’ai payé avec ma carte et j’ai fini par être facturé.,Dama fay ak sama kàrt ba noppi ñu mujjee maa fayeeku.,card payment fee charged
"My card has been pending for a while, what should I do?","Ma carte est en attente depuis un certain temps, que dois-je faire ?","Sama kart mingi xaar ab diir, lan laa wara def?",pending card payment
Can I order a new card by phone?,Puis-je commander une nouvelle carte par téléphone ?,Ndax mën na am kàrt bu bees.,card about to expire
I don't have any idea what's going on but all of my transfers keep getting declined. I have double-checked over all of my recipient names and they are correct.,"Je n’ai aucune idée de ce qui se passe, mais tous mes transferts sont toujours refusés. J’ai vérifié tous les noms de mes destinataires et ils sont corrects.","Xamuma dara ci li xew, waaye samay toxal xaalis yépp nanguwuñu ko saa sunekk. Xool naa turu ñi ko wara jot yépp te jaar na yoon.",declined transfer
There is an urgent transfer I need to make from China.  How long will it take to get it processed?,Je dois effectuer un virement urgent depuis le Sénégal. Combien de temps faudra-t-il pour le traiter ?,Dama wara def ab yónnee bu gaaw ca senegaal. Ñaata waxtu moo war  ngir def ko?,transfer timing
What do I do to link my new card?,Que dois-je faire pour lier ma nouvelle carte ?,Naka laa war a def ngir lëkkale sama kàrt bu bees bi ?,card linking
How do you come up with your exchange rate,Comment calculez-vous votre taux de change ?,Naka ngeen di xaymaa seen dayo weccoo xaalis ?,exchange rate
I'm looking for a machine of yours that will provide me cash from my home country. I went on holiday and don't have any cash on me. Will your machine charge me extra to do this?,Je recherche une machine qui me fournira de l'argent liquide depuis mon pays d'origine. Je suis parti en vacances et je n'ai pas d'argent liquide sur moi. Votre machine me facturera-t-elle un supplément pour effectuer cette opération ?,Maa ngi wër masiin bu may jox xaalis ci sama réew. Demoon naa  wakàns te amuma xaalis bu teew. Ndax seen  masiin dina ma feyyeeku  xaalis  ngir def lii?,transfer timing
Is auto top up a provided service?,La recharge automatique est-elle un service fourni ?,Ndax amna serwiis buy sarse xaalis otomatik?,automatic top up
Can you provide me a disposable virtual card?,Pouvez-vous me fournir une carte virtuelle jetable ?,Ndax mën ngeen ma jox kàrt wirtiyel bi ñuy  jëfandikoo benn yoon?,get disposable virtual card
I want to change the wrong exchange rate.,Je souhaite modifier le mauvais taux de change.,Dama bëgga soppi sama njëgu weccoo xaalis bu jaarul yoon bi.,card payment wrong exchange rate
"I need my PIN, where is it?","J'ai besoin de mon code PIN, où est-il ?",Dama soxla sama baatu ubbikaay. Fan la nekk?,get physical card
"my cash withdrawal is pending, why?","Mon retrait d'espèces est en attente, pourquoi ?
","Sama gennee xaalis dafa taxaw, lu tax?",fiat currency support
Why do I have to pay extra for using my card?,Pourquoi dois-je payer un supplément pour utiliser ma carte ?,Lu tax li may fey war a yokk ngir mën a jëfandikoo sama kàrt ?,card payment fee charged
Is there a way to use this app with a disposable virtual card?,Existe-t-il un moyen d'utiliser cette application avec une carte virtuelle jetable ?,Ndax am na anam wuñu mëna jëfandikoo aplikaasiyoŋ bii ak kàrt wirtuyel buñu mëna jëfandikoo benn yoon kese?,supported cards and currencies
Why are the things I bought earlier today still showing as pending?,Pourquoi les articles que j'ai achetés plus tôt dans la journée sont-ils toujours affichés comme en attente ?,Lu tax mbir yi ma teela  jënd ci bëccëg bi ñi feeñ melni luy xaar ba leegi?   ,pending card payment
Will this app allow me to exchange currencies?,Cette application me permettra-t-elle d’échanger des devises ?,Ndax aplikaasioŋ bii dina ma may weccoo xaalis?,exchange via app
Do you have to be in the UK to get a card?,Faut-il être au Royaume-Uni pour obtenir une carte ?,Ndax fàww nga nekk Senegaal ngir am kàrt?,country support
I was charged for using my card?,J'ai été facturé pour l'utilisation de ma carte ?,Dañu faktiire sama jëfandikug kàrt,card payment fee charged
How old do my kids need to be to open an account?,Quel âge mes enfants doivent-ils avoir pour ouvrir un compte ?,Ñaata at la samay doom wara am ngir ubbi kont?,age limit
There are a couple payments with my card in the app I see that I didn't create. What is happening? Maybe someone gained access to my account.,"Je vois dans l'application quelques paiements effectués avec ma carte, mais je ne les ai pas effectués. Que se passe-t-il ? Quelqu'un a peut-être eu accès à mon compte.","Ci aplikaasiyoŋ bi, gis naa ci ay peyoor yu nu defe ak sama kàrt, te du man. Lan moo xew ? Ndax dafa am keneen ku duggu ci sama kont ?",card payment not recognised
Why is the app showing a still pending message on a withdraw that has already been done?,Pourquoi l’application affiche-t-elle un message toujours en attente sur un retrait qui a déjà été effectué ?,Lan moo tax aplikaasioŋ bi di wone benn bataaxal ni ba leegi benn xaalis bu ma jël demul te def naa ko ba pare?,pending cash withdrawal
Why hasn't my cheque processed?,Pourquoi mon chèque n'a-t-il pas été traité ?,Lu tax cambaraguñu sama seg ?,balance not updated after cheque or cash deposit
How do I switch to a different currency?,Comment puis-je passer à une autre devise ?,Naka laay mëna jàllee ci benenn xaalis?,exchange via app
Why is there an extra fee on my statement?,Pourquoi y a-t-il des frais supplémentaires sur mon relevé ?,Lu tax mu am yeneen fere ci sama kont?,extra charge on statement
I think my card payment was cancelled. What happened?,Je pense que mon paiement par carte a été annulé. Que s'est-il passé ?,Yaakaar naa ne peyoor bi ma defe ak kàrt dañu ko niilal. Lu ko waral ?,reverted card payment?
What countries are getting support?,Quels sont les pays qui reçoivent de l’aide ?,Yan réew ñooy jot ndimbal?,country support
I don't recognize what this payment on my statement would be for.,Je ne sais pas à quoi servirait ce paiement sur mon relevé.,Xamuma lan la peyoor bii di jariñ ci sama rëlëwe.,card payment not recognised
My Google pay top up isn't working. Help.,Ma recharge Google Pay ne fonctionne pas. Aidez-moi.,Sama sarse Google Pay doxul. Dimbali leen ma.,wrong amount of cash received
I made a transaction to the wrong account!,J'ai effectué une transaction sur le mauvais compte !,Dama def benn jëflante ci kont bu baaxul?,balance not updated after bank transfer
can i verify my identity i the app,puis-je vérifier mon identité dans l'application,Ndax mën naa saytu sama dàntite ci aplikaasiyoŋ bi ?,verify my identity
I use my card internationally to manage payments and I just noticed that you are adding additional fees.  Why?  I am a good customer and this has me thinking about leaving.,J'utilise ma carte à l'international pour gérer mes paiements et je viens de remarquer que vous ajoutez des frais supplémentaires. Pourquoi ? Je suis un bon client et cela me donne envie de partir.,Damay jëfandikoo sama kàrtu réew ak bitim réew ngir yor sama peyoor te gis naa leegi ne da ngeen yokk yeneen fere? Lu tax? Kiliyaan bu baax laa te loolu dafay tax ma bëgga dem?,transfer fee charged
Do you offer cards for those in other countries?,Proposez-vous des cartes pour les personnes vivant dans d'autres pays ?,Ndax am nga ay kàrt ngir nit ñi dëkk ci yeneen réew?,card not working
My card is about to expire. What do I need to do to keep using my card?,Ma carte est sur le point d'expirer. Que dois-je faire pour continuer à utiliser ma carte ?,Sama kàrt mingi waaja jeex. Lan laa wara def ngir wéy di jëfandikoo sama kàrt?,card about to expire
What age do you have to be to open an account?,Quel âge faut-il avoir pour ouvrir un compte ?,Ñaata at nga wara am ngir mëna ubbi kont?,age limit
I need to renew a card that's about to expire,Je dois renouveler une carte qui est sur le point d'expirer,Dama war a yeesal kàrt bu nekk ci yoonu jeex ,card about to expire
Could you please tell me how to activate my new card?,Pourriez-vous me dire comment activer ma nouvelle carte ?,Ndax mën ngeen ma wax ni ñuy  tàmbalee sama kàrt bu bees bi?,activate my card
"I would like to get a physical card, but I don't know how. Can you help me?","J'aimerais obtenir une carte physique, mais je ne sais pas comment faire. Pouvez-vous m'aider ?","Bëggoon naa am kàrt fisik, waaye xamuma naka laa wara def. Ndax mën ngama dimbali?",order physical card
Can I auto top up multiple times?,Puis-je recharger automatiquement plusieurs fois ?,Ndax mën naa defandoo ay sarsamã yu gaaw yu bare ?,automatic top up
"I was using foreign currency at an ATM, but the rate was typed in wrong.","J'utilisais des devises étrangères à un distributeur, mais le taux de change était erroné.","Dama doon jëfandikoo xaalisu bitim-réew ci benn GAB, waaye njëgu weccoo xaalis bi jaarul yoon.  ",pending card payment
Are there any restrictions for the disposable cards?,Existe-t-il des restrictions pour les cartes jetables ?,Ndax kàrt yi ñuy jëfandikoo benn yoon dañoo am ay dig ?,disposable card limits
There was an unexpected fee for my cash withdrawal!,Il y a eu des frais inattendus pour mon retrait d'argent !,Am na ay njëg yu ma xaarul woon ngir xaalis bi ma genne!,cash withdrawal charge
I deactivated my card but would like to reactivate it.,J'ai désactivé ma carte mais je voudrais la réactiver.,Dama faroon sama kàrt waaye dama ko bëgg a doxalaat,card linking
"I made a transaction, but I made it to an account I didn't mean to make it to.","J'ai effectué une transaction, mais je l'ai fait sur un compte sur lequel je ne voulais pas la faire.",Dama def ab jëflante waaye sama kontu buma ko bëggul def laa ko def. ,cancel transfer
I answered so many questions about my identity. Why do you need this info?,J'ai répondu à de nombreuses questions sur mon identité. Pourquoi avez-vous besoin de ces informations ?,Tontu naa laaj yu bari ci sama jëmm Lu tax nga soxla leeral yii?,wrong exchange rate for cash withdrawal
there is a debit i dont recognize,Il y a un débit que je ne reconnais pas,Amna xaalis buñ ma tàgg te xamumako.,direct debit payment not recognised
