input,input_fr,input_wo,label
I have to make several disposable cards per day.,Je dois fabriquer plusieurs cartes jetables par jour.,Dama wara defar ay kàrt yu bari yuñ mëna jëfandikoo yoon kese bis bu nekk.,disposable card limits
There are charges on my card that I haven't purchased.,Il y a des frais sur ma carte que je n'ai pas payés.,Ndax amna ay fere yu ma fayul ci sama kàrt ? ,compromised card
Help me find the transfer that I did.,Aidez-moi à retrouver le transfert que j'ai effectué.,Jàppaleleen ma ndax ma xam fi xaalis bi ma yónnee jaar ?,balance not updated after bank transfer
Can you tell me the countries you operate in?,Pouvez-vous me dire dans quels pays vous opérez ?,Ndax mën ngeen ma wax yan réew la seeni sarwiis am ?,country support
Card payment has be declined.,Le paiement par carte a été refusé.,Gàntal nañu peyoor ak kàrt bi,reverted card payment?
How long will my transfer be pending?,Combien de temps mon transfert sera-t-il en attente ?,Ñaata waxtu la xaalis bi ma yónnee war a def ngir jàll ?,pending transfer
I don't have my mobile device and am unable to make the payment because I forgot my details.,Je n'ai pas mon appareil mobile et je ne parviens pas à effectuer le paiement car j'ai oublié mes coordonnées.,Yoru ma sama jollasu te mënu ma fey ndax fàtte naa samay nimoro jokkoo.,lost or stolen phone
I tried to top up but the app rejected it.,J'ai essayé de recharger mais l'application l'a rejeté.,"Jéen naa sarse sama kàrt, ab aplikaasiyoŋ a ko gàntal",top up failed
Can you find out why my credit card didn't process payment? It was declined for top up so what's the deal?,"Pouvez-vous savoir pourquoi ma carte de crédit n'a pas été traitée ? Le rechargement a été refusé, alors pourquoi ?","Lu tax peyoor bi ma defe ak sama kàrti keredi jàllul. Dañu gàntal sama kàrt keredi bi may def benn sarsamã, lan moo xew ?",top up failed
Should I order a new card before I freeze my original one?,Dois-je commander une nouvelle carte avant de geler ma carte d’origine ?,Ndax dama wara defarlu kàrt bu bees balaa ñuy dàgg sama kàrt orizinal?,compromised card
I'd like like to know where I can order a virtual card?,J'aimerais savoir où je peux commander une carte virtuelle ?,Fan laa mën a komaanee ab kàrtu xarala ?,getting virtual card
are there any exchange fees,y a-t-il des frais de change,Ndax weccoo xaalis bi am na ay fere ?,exchange charge
How do I activate my card that just arrived?,Comment activer ma carte qui vient d'arriver ?,Naka laa mën a doxalee sama kàrt bu bees bi may doog a jot ?,activate my card
Are there fees for receiving a SEPA transfer?,Y a-t-il des frais pour recevoir un virement SEPA ?,Ndax joti ci yónneeb SEPA dafa aajowoo ay fere ?,top up by bank transfer charge
I should not have been charged a fee for my transfer.,Je n'aurais pas dû payer de frais pour mon transfert.,Waruma woon fay dara ngir sama yóonee xaalis.,transfer fee charged
I don't have my card after 1 week. What are my next steps?,Je n'ai toujours pas ma carte après une semaine. Quelles sont les prochaines étapes ?,Ginnaaw ayu-bés a ngii jotuma sama kàrt. Yan ñooy yoon ci ci topp ?,card arrival
What is delivery speed to the United States?,Quelle est la vitesse de livraison aux États-Unis ?,Lan mooy witeesu yònnee xaalis Etats-uni?,card delivery estimate
What do I do if my Google pay top up isn't working?,Que dois-je faire si ma recharge Google Pay ne fonctionne pas ?,Naka laa mën a def bu fekkee sama sarsamã bi ma jaare google pay doxul ?,apple pay or google pay
I think I was charged double for something I bought - how long should I wait before reporting this?,Je pense que j’ai été facturé le double pour quelque chose que j’ai acheté - combien de temps dois-je attendre avant de le signaler ?,"Dama yaakaar ni dañu ma fayeeku ñaari yoon ci lu ma jëndoon, ñaata waxtu laa wara xaar balaa may koy wax?",transaction charged twice
"Hi. A couple hours ago I make a transfer from my UK bank account, but it hasn't shown up. Please, would you see what the delay is?","Salut. Il y a quelques heures, j'ai effectué un virement depuis mon compte bancaire au Royaume-Uni, mais il n'est pas apparu. S'il vous plaît, pourriez-vous voir quel est le retard ?","Salaam maalekum. Waxtu yu néew ci ginnaaw, dama def xaalis ci sama kont bu Senegaal waaye feeñul. Ndax mën ngeen gis lu ko yeexal?",balance not updated after bank transfer
Why cant I transfer to my account?,Pourquoi ne puis-je pas effectuer de transfert sur mon compte ?,Lu tax mënuma dugal xaalis ci sama kont ?,beneficiary not allowed
I can't find any option to top up with a cheque?,Je ne trouve aucune option pour recharger avec un chèque ?,gisuma benn tànneef ngir sarse ak sek?,top up by cash or cheque
There is a cash withdrawal from an ATM listed but I don't remember making this withdrawal.,Il y a un retrait d’argent à un distributeur automatique de billets mais je ne me souviens pas d’avoir fait ce retrait.,"Amna dindi xaalis buñu def ci GAB bi, waaye fàttaliku wuma ni jël naa xaalis boobu.",cash withdrawal not recognised
Can I change from AUD to GBP?,Puis-je passer de l'AUD à la GBP ?,Ndax mën naa weccoo ay AUD ak ay GBP.,exchange via app
I wasn't able to use my top up card because the money I put on there wasn't there anymore,Je n'ai pas pu utiliser ma carte de recharge car l'argent que j'y avais mis n'était plus là,Mujjewuma jëfandikoo sama kàrt bi may sarsee ndax xaalis bi ma ci defoon nekkatu ci,topping up by card
I'd like to know what you guys look at to decide an exchange rate,J'aimerais savoir ce que vous regardez pour décider d'un taux de change,Bëggon naa xam ci lan ngeen di wékku ngir dogal dayo weccoo yi ?,exchange rate
What is the proper way to activate a card?,Quelle est la bonne façon d’activer une carte ?,Lan mooy anam wi jaar yoon ngir tàmbali kàrt?,activate my card
I don't know where the top-up verification code is.,Je ne sais pas où se trouve le code de vérification de la recharge.,Xamuma fan la baatu ubbikaayu  sarse bi nekk.,verify top up
I tried to used my card in a shop and the transaction was declined.,J'ai essayé d'utiliser ma carte dans un magasin et la transaction a été refusée.,Jéem naa jëfandikoo sama kàrt ci benn bitik waaye nanguwuñu ko.,declined card payment
I want to talk about an order that I placed a long time ago and have yet to receive. I demand a refund due to lack of delivery of the product!  I refuse to pay for something I never got.,Je veux parler d'une commande que j'ai passée il y a longtemps et que je n'ai pas encore reçue. J'exige un remboursement faute de livraison du produit !  Je refuse de payer pour quelque chose que je n'ai jamais eu.,Bëgg naa wax ci benn komaand bu yàgg bu ma def te jotaguma ko. Maa ngiy sàkku ñu delloma sama xaalis ndax bagaas bi yegsiwul.  Duma fey luma musula jot.,request refund
What do I do if i accidentally broke my card?,Que dois-je faire si je casse accidentellement ma carte ?,Lan laa war a def su ma yàqee sama kàrt te tayuma ko ?,card not working
Am I able to get a refund for a purchase?,Puis-je obtenir un remboursement pour un achat ?,Ndax mënees naa jotaat ci xaalis mbir mu ma jëndoon ?,request refund
Why hasn't my payment shown up yet?,Pourquoi mon paiement n'est-il pas encore arrivé ?,Lu tax gisaguma samag peyoor ba tay ?,pending card payment
"I have found my lost or stolen card, would I still have to activate the new card that was sent to me through the mail in order to access my account?","J'ai retrouvé ma carte perdue ou volée, dois-je quand même activer la nouvelle carte qui m'a été envoyée par la poste pour accéder à mon compte ?","Gisaat naa sama kart bi réeroon wala biñu sàccoon, ndax fàww ma doxal kart bu bees biñ ma yónneeci post bi ngir mëna dugu ci sama kont?",card linking
Where's my virtual card,Où est ma carte virtuelle,Fan la sama kàrt xarala nekk ?,getting virtual card
I would like to invalidate my account.  I am very disappointed with your services.,Je souhaite invalider mon compte. Je suis très déçu(e) de vos services.,Dama bëgg a gàntal sama kont. Seeni sarwiis bett na ma lool.,terminate account
I have a transaction showing up more than once.,J’ai une transaction qui s’affiche plus d’une fois.,Amnaa ab jëflante bu feeñ lu ëpp benn yoon.,transaction charged twice
"For you, how long do transfers normally take from a UK account? I completed one just now but nothing appears. I just need to be sure everything is okay.","Combien de temps faut-il généralement pour effectuer un virement depuis un compte britannique ? Je viens d'en effectuer un, mais rien ne s'affiche. Je dois juste m'assurer que tout est en ordre.","Ci sa xalaat, ndax lan mooy diiru xaalis boo xam ne dañu ko yónneewee kont bànk bu nekk àngalteer ? Def naa ci benn léegi waaye, gisaguma ko. Bëgg naa xam ndax lépp a tege ci yoon ",balance not updated after bank transfer
"I have never been charged for making an ATM cash withdrawal before, but I am now being charged a fee to withdraw cash. What happened?","Je n'ai jamais été facturé pour un retrait d'espèces au distributeur, mais maintenant, des frais me sont facturés. Que s'est-il passé ?","Mësuñu maa sàkku ngir ab dindi xaalis ci gab, waaye leegi,sàkku nañu ma ay fere. Lan moo xewoon?",cash withdrawal charge
How many currencies can I have money in in my account?,Dans combien de devises puis-je avoir de l'argent sur mon compte ?,Ci ñaata xeet laa mën a amee xaalis ci sam kont ?,fiat currency support
I'm worried my card might be lost in the mail? How long does it usually take to arrive?,J'ai peur que ma carte soit perdue dans le courrier. Combien de temps faut-il généralement pour qu'elle arrive ?,Dama ragal sama kart réer ci dëkkuwaayu bataaxal bi. Ban diir lay faral di def balaa muy yegsi?,card delivery estimate
can you tell me why my card was declined?,pouvez-vous me dire pourquoi ma carte a été refusée ?,Ndax mën ngeen ma wax lu tax ñu gàntal sama kàrtu  ?,declined card payment
I am still waiting for a the cash I deposited this morning,J'attends toujours l'argent que j'ai déposé ce matin,Ba leegi maa ngi xaalis bima dugal ci suba.,balance not updated after cheque or cash deposit
How much longer is it going to take to get my new card?,Combien de temps faudra-t-il encore pour obtenir ma nouvelle carte ?,Ñaata waxtu laa wara defaat ngir am sama kart bu bees bi?,card arrival
What are the steps to get my card back that was kept by the ATM?,Quelles sont les démarches pour récupérer ma carte conservée au distributeur ?,Lan mooy jéego yi nga wara def ngir jot ci sama kàrt buñu tëj ci gab  bi?,card swallowed
I want to exchange USD and GBP with the app,Je souhaite échanger des USD et des GBP avec l'application,Dama bëgga weccoo ay USD ak GBP ci aplikaasiyoŋ bi.,exchange via app
Could I raise a dispute for a large payment that i found out was not done by me in my couple of last statements? I am aware its delayed now. Please help me out.,"Puis-je contester un paiement important dont j'ai découvert, lors de mes derniers relevés, qu'il n'avait pas été effectué ? Je sais que le paiement est en retard. Aidez-moi, s'il vous plaît.",Ndax mën naa jéebaane peyoor bu am solo bu ma nemmeeku bu jàllul ci sama ñaari jokkalante yu mujj yi. Xam naa ne yeex na ci jóg. Ndax mën ngeen ma ci jàppale ?,direct debit payment not recognised
When will my cheque be processed?,Quand mon chèque sera-t-il traité ?,Kañ lañuy cambar sama seg bi ?,balance not updated after cheque or cash deposit
Can I cancel a transfer I made,Puis-je annuler un transfert que j'ai effectué,Ndax mën naa fommal yónnee bima def?,cancel transfer
"I would like to get a physical card, but I don't know how. Can you help me?","J'aimerais obtenir une carte physique, mais je ne sais pas comment faire. Pouvez-vous m'aider ?","Bëggoon naa am kàrt fisik, waaye xamuma naka laa wara def. Ndax mën ngama dimbali?",order physical card
"I just did a transfer, but don't see the money in my account. What's up?","Je viens d'effectuer un virement, mais je ne vois pas l'argent sur mon compte. Que se passe-t-il ?","Dama def leegi ab toxal, waaye gisuma xaalis ci sama kontu. Lan moo xew?",transfer timing
can i get a virtual card online,puis-je obtenir une carte virtuelle en ligne,Ndax mën naa am ab kàrtu xarala ci lënd gi ?,get disposable virtual card
I would like to cancel a transfer,Je souhaite annuler un transfert,Dama bëgg a niilal ab wiirmã,cancel transfer
How old must I be to open an account?,Quel âge dois-je avoir pour ouvrir un compte ?,Ñaata at laa war a am ngir ubbi ab kont .?,age limit
This stupid system is not letting me prove my identity.,Ce système stupide ne me permet pas de prouver mon identité.,Sistem bu bon mënul a tax ma firndeel sama dàntite ,unable to verify identity
I have no idea why there is a dollar that has been charged to my account.,Je ne sais pas pourquoi un dollar a été débité de mon compte.,Xamuma lu tax ñu dindi ab xaalis ci sama kontu.,extra charge on statement
Tell me why my transfer is pending.,Dites-moi pourquoi mon transfert est en attente.,Wax ma lu tax xaalis bi ma dugal ci sama kont jàllagul ba tay ?,pending transfer
It looks like a payment I've made hasn't made it through yet.,Il semble qu’un paiement que j’ai effectué n’ait pas encore été effectué.,Dafa melni payoor bi ma def ba tay demagul.,pending card payment
"I transferred money from the US, How long does it take?","J'ai transféré de l'argent depuis les États-Unis, combien de temps cela prend-il ?",Dama yónnee xaalis ca Amerig. Ñaata waxtu la war a def ?,transfer timing
I wasn't able to do a transfer to an account,Je n'ai pas pu effectuer de virement vers un compte,Mujjuwuma yónnee xaalis ci beneen kont,beneficiary not allowed
What is the timeframe for a transfer in Europe?,Quel est le délai pour un transfert en Europe ?,Lan mooy diiru xaalis bu ñu yónnee Europe ?,transfer timing
Can I use google play as my primary app to Top up?,Puis-je utiliser Google Play comme application principale pour recharger ?,Ndax mën naa jëfandikoo aplikaasioŋu Google Play rekk ngir sarse?,apple pay or google pay
Do you have a list of businesses that accept this card?,Avez-vous une liste d'entreprises qui acceptent cette carte ?,Ndax am ngeen limu këri liggéeyukaay yiy nangu kàrt bii ?,card acceptance
Why check my identity?,Pourquoi vérifier mon identité ?,Lu tax ma war a cambar sama dàntite ?,why verify identity
"Hi, Yesterdays i was unable to do online shopping as it was getting declined. Today I am facing the same issue. Please help me in this respect.","Bonjour, hier, je n'ai pas pu faire d'achats en ligne car ils étaient refusés. Aujourd'hui, je rencontre le même problème. Aidez-moi.","Salaamaalekum, démb mujjewuma jaare samay njënd ci lënd gi ndax àntuwul woon. Tay itam, jafe-jafe boobu laa am, jàppaleleen ma",declined transfer
My top up isn't in my wallet.,Ma recharge n’est pas dans mon portefeuille.,Sama sarse nekkul ci sama kalpe.,topping up by card
Are there any top-up limits that I must follow?,Y a-t-il des limites de rechargement que je dois respecter ?,Ndax amna fu ma wara yem ci saarse yu ma wara def,top up limits
What are the places that you deliver cards to?,Quels sont les endroits où vous livrez des cartes ?,Yan ñooy béréb yi ngeen di jotalee kàrt yi ?,order physical card
How do I verify the source of my funds?,Comment puis-je vérifier la source de mes fonds ?,Naka laa mën a cambaree fi sama xaalis jóge ?,verify source of funds
"Hello, my transfers are getting failed continuously, in spite of the fact that all the recipient details are correct. Please advise.","Bonjour, mes virements échouent constamment, même si les informations du destinataire sont correctes. Merci de m'indiquer mon adresse.","Salaamaalekum, samay wiirmã dañuy wéy di gàntal, donte ne sax xibaar yi ñeel ki ma koy yónnee yépp a jaar yoon. Sàkku naa ngeen xelal ma.",declined transfer
I have foreign currency i would like to change how much will it cost me?,"J'ai des devises étrangères que je voudrais changer, combien cela va-t-il me coûter ?","Amnaa xaalis bu bawoo bitim réew buma bëgga weccoo, ñaata lay fay?",exchange charge
"Someone stole my account, there's a withdrawal but it wasn't me, can we put a stop to it please?","Quelqu'un a volé mon compte, il y a un retrait mais ce n'était pas moi, on peut y mettre un terme s'il vous plaît ?","Dafa am ku sàcc xaalis sama kont, amna ñuy jël xaalis waaye du man, ndax mën nañu ko dakkal ?",cash withdrawal not recognised
"I put cash in my account, but I don't see it.","J'ai mis de l'argent sur mon compte, mais je ne le vois pas.",Dugal naa xobbet-xobbet xaalis ci sama kont waaye gisaguma ko ba tay.,balance not updated after cheque or cash deposit
How many times can I make a top-up?,Combien de fois puis-je effectuer une recharge ?,Ñaata yoon laa mën a def ab sarsamã ?,top up limits
What will I need to verify my identity,De quoi ai-je besoin pour vérifier mon identité,Lan laa wara def ngir saytu sama dàntite,verify my identity
"Hello, I was just went through my recent transaction on my bank account and I just noticed that I was charged twice at a place that ate at this past week. Can I get that second transaction removed from my account?","Bonjour, je viens de consulter ma dernière transaction sur mon compte bancaire et je constate que j'ai été débité deux fois dans un restaurant la semaine dernière. Puis-je faire supprimer cette deuxième transaction de mon compte ?","Salaamaalekum, maa ngi doog a xool sama karne kontu bànk, te gis naa ne dagg nañu ma xaalis ñaari yoon ci benn béréb boo xam ne dama fa doon lekkee ayu-bés bee weesu. Ndax mën naa far ñareelu jokkalante bi ci sama kont",transaction charged twice
What is the time frame for european transfers?,Quel est le délai pour les transferts européens ?,Lan mooy àpp bi ngir ñiy toxal xaalis ci orop?,transfer timing
"I made a mistake of transferring, can I cancel my previous transfer?","J'ai fait une erreur de transfert, puis-je annuler mon transfert précédent ?","Dama def njuumte bi may yónnee xaalis, ndax mën naa niilal li ma mujje yónnee ?",cancel transfer
Can I apply for one of your cards if I live in the EU?,Puis-je demander l’une de vos cartes si je réside dans l’UE ?,Ndax mën naa am benn ci seen kàrt yi su fekkee ci UE bi laa dëkk ?,country support
Can I use a transfer to receive my transfer?,Puis-je utiliser un virement pour recevoir mon transfert ?,Ndax mën naa yónnee ngir jot ci sama xaalis ?,receiving money
When will I receive a transfer from europe?,Quand vais-je recevoir un virement depuis l'Europe ?,Kañ laa war a jot xalis bu jóge Europe ?,transfer timing
i need a refund right away but the funds aren't available in my account,J’ai besoin d’un remboursement immédiat mais les fonds ne sont pas disponibles sur mon compte,Dama soxla ñu delloo ma sama xaalis ci saasi waaye xaalis bi amul ci sama kontu.,Refund not showing up
"If I found an error in my account for a transaction I didn't make, how long to I have to dispute it?","Si je trouve une erreur dans mon compte pour une transaction que je n'ai pas effectuée, combien de temps ai-je pour la contester ?","Su fekkee dama gis njuumte ci sama kont bu ñeel jokkalante bu ma deful, ñaata waxtu lañu ma may ngir ma jéebaane ko ?",direct debit payment not recognised
What should I do if I have used all of my PIN tries?,Que dois-je faire si j'ai utilisé tous mes codes PIN ?,Lan laa wara def sudee damaa jëfandikoo samay kod PIN yépp?,pin blocked
what amount of time does it take for a transfer to reflect and be available,Combien de temps faut-il pour qu'un transfert soit reflété et disponible,Ban diir la wara def ngir ñu def toxal ak mu jàppandi.,balance not updated after bank transfer
"I was charged a fee when I transferred my funds, why?","Des frais m'ont été facturés lors du transfert de mes fonds, pourquoi ?",Dama fey ay fere bi may yónnee xaalis,transfer fee charged
The attempted transfer failed.,La tentative de transfert a échoué.,Xaalis bi nga doon jéem a yónnee jàllul,failed transfer
Today I was out eating and my card was declined. Why's that?,"Aujourd'hui, j'étais au restaurant et ma carte a été refusée. Pourquoi ?","Tay, ginnaaw bi ma lekkee ba noppi, sama kàrt bi ma bëggoon a feyee jàllul; Naka la loolu mën a nekee ?",card not working
My top-up is taking a very long time to complete.,Ma recharge prend beaucoup de temps à se terminer.,Sama sarsamã dafay jël ay waxtu yu bare,pending top up
Why was my cash withdrawal declined by the ATM?,Pourquoi mon retrait d'espèces a-t-il été refusé par le distributeur automatique ?,Lu tax gab bi bañ sama dindi xaalis?,declined cash withdrawal
I was trying to purchase some crypto and the app won't allow me to do it. What's the deal with this? I really wanted to complete the exchange.,J’essayais d’acheter de la crypto et l’application ne me permet pas de le faire. Quel est le problème avec cela ? Je voulais vraiment compléter l’échange.,Dama doon jéema jënd kripto te aplikaasioŋ bi mayu ma ma def ko. Luy jafe-jafe bi ci lii? Bëggoon naa mottali weccoo bi.,beneficiary not allowed
I would like a physical card,Je souhaite une carte physique,Dama bëgg kàrt fizik.,order physical card
I'd like to get another card,J'aimerais avoir une autre carte,Dama bëgg  a am beneen kàrt ,getting spare card
I just got my card.  It's not linked yet--how do I do that?,Je viens de recevoir ma carte.  Il n'est pas encore lié. Comment puis-je faire ?,Dama jot sama kàrt.  Ba tay lëkkale gu ñu ko. Naka laa ko mën naa def?,card linking
How can get a Visa card?,Comment obtenir une carte Visa ?,naka lañuy ame kart Visa?,visa or mastercard
Do you have a list of cards and currencies you support?,Avez-vous une liste des cartes et des devises que vous prenez en charge ?,Ndax am ngeen limu kàrt yi ak xeeti xaalis yi ngeen jàppandil ?,supported cards and currencies
Why am I getting a fee on a card payment?,Pourquoi est-ce que je reçois des frais sur un paiement par carte ?,Lu tax peyoorug kàrt am ay fere ?,card payment fee charged
What are the countries you have offices in?,Dans quels pays avez-vous des bureaux ?,Yan ñooy réew yi nga xam ne seen sarwiis bi am na fa ?,country support
"How long do transfers from a UK bank account usually take for you? I just made a transfer and I'm not seeing anything, wondering if it worked",Combien de temps prennent généralement les virements depuis un compte bancaire britannique ? Je viens d'effectuer un virement et je ne vois rien. Je me demande si ça a fonctionné.,"Ñaata  waxtu la xaalis bu ñu yónneewee ak kontu bànk bu nekk àngalteer war a jël ? Dama def ab wiirmã, te gisuma dara, maa ngi laaj ba xam jàll na",balance not updated after bank transfer
Where are the ATMs that I can use Mastercard?,Où sont les distributeurs automatiques où je peux utiliser Mastercard ?,Fan la GAB  yi ma mënee jëfandikoo sama kàrt mastercard nekk ?,atm support
There is  a charge I don't recognize.,Il y a une charge que je ne reconnais pas.,Am na ay fere yu ma xàmmewul,card payment not recognised
What is the reason my cash withdrawal is still pending?,Quelle est la raison pour laquelle mon retrait d'argent est toujours en attente ?,Lan moo waral xaalis bi ma jël nekk ba tay ci pekku négandiku ?,pending cash withdrawal
I'd prefer to use my American Express when putting funds into my account.,Je préfère utiliser ma carte American Express pour déposer des fonds sur mon compte.,Tàmm naa jëfandikoo kàrt Ekspres Ameriken ngir dugal xaalis ci sama kontu,supported cards and currencies
Where are you getting your exchange rates from?,D’où proviennent vos taux de change ?,Fan la seen njëgu weccoo xaalis bawoo?,exchange rate
i didnt put that money in my account,je n'ai pas mis cet argent sur mon compte,Dugaluma xaalis bii ci sama kont,cash withdrawal not recognised
What is your shipping policies for cards?,Quelle est votre politique d'expédition pour les cartes ?,Naka ngeen di doxalee wàllu jotali kàrt yi ?,card delivery estimate
What is the maximum for top-ups?,Quel est le montant maximum pour les recharges ?,Lan mooy lim bu gëna bari ci sarse yi?,top up limits
Why did you give me so little currency?,Pourquoi m'as-tu donné si peu d'argent ?,Lu tax ngeen jox ma xaalis bu tuutee nii ?,wrong exchange rate for cash withdrawal
My exchange rate was wrong for an Item I bought!,Mon taux de change était erroné pour un article que j'ai acheté !,Dayo weccoo bi ñeel benn afeer bu ma doon jënd jaarul woon yoon ,card payment wrong exchange rate
"Around one or two weeks ago I purchased something but there's seems to be an issue. I have already received one of the items, but today the money was placed back into my account. What is happening?","Il y a une ou deux semaines, j'ai effectué un achat, mais il semble y avoir un problème. J'ai déjà reçu l'un des articles, mais aujourd'hui, l'argent a été reversé sur mon compte. Que se passe-t-il ?","Am na benn walla ñaari ayu-bés, am na lu ma jënd, waaye dafa mel ne dafa am jafe-jafe. Jot naa benn ci li ma doon jënd waaye dañu delloo xaalis bi ci sama kont tay. Lan moo xew ?",reverted card payment?
There has a recent suspicious withdrawal on my bank account. Is it possible to freeze my card?,Un prélèvement suspect a récemment été effectué sur mon compte bancaire. Puis-je bloquer ma carte ?,Nemeeku naa xaalis boo xam ne anam yi nu ko jëlee ci sama kont teey na xel. Ndax mën naa ko téj ?,cash withdrawal not recognised
I couldnt transfer money from my account.,Je n'ai pas pu transférer de l'argent depuis mon compte.,Mujjewuma yónnee sama xaalisu kont,failed transfer
"My phone is lost I don't want someone to use my account, what can I do?","Mon téléphone est perdu, je ne veux pas que quelqu'un utilise mon compte, que puis-je faire ?","Sama telefon dafa réer, te bëgguma kenn mën a joti ci sama kont, Lan laa war a def ?",lost or stolen phone
"I think something went wrong, I didn't get the right amount.","Je pense que quelque chose s'est mal passé, je n'ai pas reçu la bonne quantité.","Jàpp naa ne am na ay woroo tuuti, jotuma limu koppar bi war.",wrong amount of cash received
Will I be charged for receiving the money?,Serai-je facturé pour recevoir l’argent ?,Ndax dañu may faktiire su fekkee dama jël xaalis ?,top up by bank transfer charge
What is my source of funds?,Quelle est ma source de financement ?,Lan mooy cosu sama xaalis bi.,verify source of funds
What is with the need to have all my ID information?,Pourquoi avoir besoin de toutes mes informations d'identification ?,Lutax nga soxla sama xibaar dàntite yépp.,why verify identity
"I want to top up my account by a bank transfer, but will I be charged?","Je souhaite recharger mon compte par virement bancaire, mais serai-je facturé ?","Dama bëgg a sarse sama kont jaare ko ab jokkalente bànk, ndax loolu dafa laaj ay fere ?",top up by bank transfer charge
I will not be able to verify my identity.,Je ne pourrai pas vérifier mon identité.,Duma mën a cambar sama dàntite ,unable to verify identity
How does identity check work?,Comment fonctionne le contrôle d'identité ?,Lan mooy doxalinu cambarug dàntite bi ?,why verify identity
I am not sure but someone else might be using my card,Je ne suis pas sûr mais quelqu'un d'autre utilise peut-être ma carte,Wóoru ma waaye amna keneen kuy jëfandikoo sama kàrt,compromised card
Is it possible to change from USD to GBP with your App?,Est-il possible de passer de l'USD à la GBP avec votre application ?,Ndax mën a weccoo ay USD ak ay GBP ci seen aplikaasiyoŋ bi ?,exchange via app
Why isn't my deposit showing up?,Pourquoi mon dépôt n'apparaît-il pas ?,Lu tax xaalis bi ma dugal feeñul ci sama kont ?,balance not updated after cheque or cash deposit
How do I activate auto top-up when traveling?,Comment activer la recharge automatique lorsque je voyage ?,Naka laa mën a lóotaabee tànneefu sarsamã bu gaaw bu may tukki ? ,automatic top up
"I live in America, but I would like a card.","Je vis en Amérique, mais j'aimerais avoir une carte.","Amerig laa dëkk, waaye dama bëgg ab kàrt",country support
When will the cash that I put in the ATM be cleared from pending status?,Quand l'argent que je dépose au distributeur automatique sera-t-il retiré du statut en attente ?,Kañ lañuy far xaalis bi ma dugalee ca GAB ba te mu nekk ci pekku négandiku ba tay ?,pending cash withdrawal
"Changed details is essential, what steps do I take to do so?","La modification des détails est essentielle, quelles démarches dois-je effectuer pour le faire ?","Soppig leeral yi dafa am njëriñ, yan jeego laa wara amal ngir def ko?",edit personal details
Are cards available in the EU?,Les cartes sont-elles disponibles dans l’UE ?,Ndax kàrt yi am nañu ci EU?,country support
How do i set up my credit card to send transfers?,Comment configurer ma carte de crédit pour envoyer des virements ?,Naka laay defaraate sama kàrt kredi ngir toxal xaalis?,topping up by card
Where is the money that I transferred.,Où est l'argent que j'ai transféré ?,Fan la xaalis bi ma yónnee nekk ?,balance not updated after bank transfer
What is the disposable card for?,A quoi sert la carte jetable ?,Lan la kàrtu jëfandiku-sànni di jariñ ?,get disposable virtual card
How much am I allowed to top-up?,Combien puis-je recharger ?,Lan mooy limu xaalis bi ma mën a sarse ?,top up limits
i cannot find my card PIN,je ne trouve pas le code PIN de ma carte,Gisu ma kodu PIN sama kart,get physical card
Has my top-up been cancelled?,Ma recharge a-t-elle été annulée ?,Ndax fomm nañu sama sarse?,top up reverted
I have withdrawn cash from the ATM but it is showing in my account as a pending transation. Why is this?,"J’ai retiré de l’argent au distributeur automatique, mais cela apparaît sur mon compte comme une transaction en attente. Pourquoi ?","Dama dindi xaalis ci GAB bi, waaye mingi feeñ ci sama kontu melni jëflante buy xaar. Lu tax?",pending cash withdrawal
Hi. Please can you help me fix a double charge on my card? I'm looking at my transactions and this restaurant I went to earlier in the week has charged me twice! Please remove the additional charge for me.,Bonjour. Pouvez-vous m'aider à régler un double débit sur ma carte ? Je regarde mes transactions et ce restaurant où je suis allé plus tôt dans la semaine m'a facturé deux fois ! Veuillez supprimer les frais supplémentaires pour moi.,Nanga def . Ndax mën ngamaa jàppale ma lijënti ñaari fey yi ci sama kart. Maa ngi xool samay jëflante te resto bima demoon ci ayu-bis bii daf maa feyloo ñaari yoon. Nanga ma dindil fey gi yokku ngir man.,transaction charged twice
Will I be charged for transfers?,Serai-je facturé pour les transferts ?,Ndax dinañu dagg ay fere su ma yónnee xaalis ?,transfer fee charged
may I have a Visa and a Mastercard from you.,puis-je avoir une carte Visa et une Mastercard de votre part.,Ndax mën naa am kàrt wiisa ak kàrt Master ci yeen?,visa or mastercard
I have a card payment which shows as pending,J’ai un paiement par carte qui s’affiche comme étant en attente,Amnaa payooru kàrt bu ñuy wane ni dafay xaar.,pending card payment
I need a transaction reversed from my account.,J'ai besoin d'une transaction annulée sur mon compte.,Dama soxla ñu delloo sama jëflante ci sama kont.,transaction charged twice
Why was my cash withdrawal cancelled at the ATM?,Pourquoi mon retrait d'espèces a-t-il été annulé au distributeur automatique ?,Lu tax ñu fomm sama genne xaalis ci gab bi?,declined cash withdrawal
Is there a fee for a SEPA transfer,Y a-t-il des frais pour un virement SEPA,Ndax amna ay njëg ngir yóonee xaalis ci SEPA,top up by bank transfer charge
I cannot get my google pay to work.,Je n'arrive pas à faire fonctionner mon Google Pay.,Mënuma fexe ba sama kont google pay dox ,apple pay or google pay
How do I set up an account for my children?,Comment créer un compte pour mes enfants ?,naka laay def ba ubbil kont samay doom?,age limit
